Year,Month,Day,SO4 mass (Tg),SO4 deposition (Tg)
2019,6,22,0.001,0
2019,6,23,0.034,0.012
2019,6,24,0.048,0.041
2019,6,25,0.051,0.02
2019,6,26,0.063,0.017
2019,6,27,0.072,0.014
2019,6,28,0.089,0.027
2019,6,29,0.124,0.029
2019,6,30,0.147,0.031
2019,7,1,0.151,0.029
2019,7,2,0.147,0.028
2019,7,3,0.192,0.034
2019,7,4,0.216,0.042
2019,7,5,0.242,0.043
2019,7,6,0.263,0.042
2019,7,7,0.292,0.04
2019,7,8,0.297,0.036
2019,7,9,0.3,0.033
2019,7,10,0.319,0.031
2019,7,11,0.329,0.032
2019,7,12,0.329,0.034
2019,7,13,0.331,0.032
2019,7,14,0.326,0.03
2019,7,15,0.29,0.026
