Year,month,day,hour,0.1,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,25,30,35,40,45,50,60,70,80,90,100
2019,6,22,2,0.718,0.718,0.748,0.768,0.783,0.787,0.796,0.809,0.809,0.809,0.834,0.821,0.837,0.803,0.808,0.814,0.807,0.794,0.783,0.77,0.765,0.753,0.76,0.746,0.74,0.739,0.731,0.721,0.718,0.719,0.677,0.661,0.655,0.643,0.631
2019,6,22,15,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,23,0,0.776,0.776,0.769,0.768,0.768,0.767,0.765,0.763,0.764,0.755,0.742,0.721,0.697,0.681,0.671,0.659,0.648,0.639,0.64,0.63,0.631,0.634,0.632,0.632,0.625,0.599,0.586,0.577,0.575,0.578,0.575,0.573,0.561,0.559,0.538
2019,6,23,2,0.778,0.778,0.775,0.767,0.765,0.756,0.754,0.749,0.741,0.712,0.69,0.659,0.647,0.649,0.656,0.657,0.653,0.654,0.66,0.662,0.662,0.657,0.654,0.65,0.63,0.619,0.609,0.588,0.571,0.555,0.54,0.544,0.532,0.522,0.518
2019,6,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,24,0,0.771,0.771,0.761,0.754,0.746,0.736,0.726,0.716,0.714,0.682,0.696,0.719,0.722,0.726,0.726,0.727,0.728,0.732,0.727,0.722,0.724,0.721,0.717,0.714,0.694,0.679,0.656,0.637,0.613,0.577,0.528,0.448,0.394,0.297,0.151
2019,6,24,1,0.751,0.751,0.737,0.721,0.708,0.696,0.683,0.675,0.666,0.645,0.662,0.67,0.669,0.675,0.675,0.67,0.669,0.674,0.674,0.673,0.674,0.673,0.67,0.633,0.601,0.583,0.564,0.543,0.525,0.493,0.453,0.384,0.333,0.198,0.1
2019,6,24,22,0.312,0.312,0.308,0.311,0.316,0.334,0.359,0.374,0.394,0.459,0.511,0.543,0.552,0.537,0.515,0.472,0.446,0.403,0.333,0.246,0.184,0.131,0.078,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,24,23,0.666,0.666,0.668,0.672,0.68,0.689,0.696,0.705,0.714,0.757,0.767,0.764,0.756,0.755,0.756,0.753,0.752,0.751,0.746,0.743,0.733,0.722,0.717,0.674,0.609,0.552,0.506,0.464,0.42,0.36,0.287,0.18,0.081,0,0
2019,6,25,1,0.761,0.761,0.759,0.757,0.752,0.752,0.756,0.757,0.76,0.751,0.743,0.729,0.724,0.719,0.725,0.719,0.717,0.714,0.712,0.704,0.691,0.681,0.674,0.627,0.565,0.52,0.489,0.442,0.41,0.372,0.284,0.123,0.033,0.02,0
2019,6,25,3,0.753,0.753,0.753,0.756,0.753,0.761,0.766,0.763,0.764,0.71,0.667,0.644,0.634,0.623,0.611,0.614,0.615,0.607,0.616,0.595,0.589,0.576,0.558,0.417,0.279,0.112,0,0,0,0,0,0,0,0,0
2019,6,25,4,0.677,0.677,0.711,0.742,0.763,0.799,0.821,0.841,0.848,0.854,0.857,0.853,0.812,0.754,0.727,0.708,0.696,0.688,0.696,0.679,0.664,0.632,0.599,0.382,0,0,0,0,0,0,0,0,0,0,0
2019,6,25,13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,25,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,25,16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,25,20,0.559,0.559,0.541,0.54,0.555,0.577,0.584,0.594,0.597,0.51,0.262,0.179,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,25,21,0.673,0.673,0.663,0.652,0.643,0.644,0.641,0.638,0.631,0.532,0.384,0.3,0.231,0.178,0.148,0.103,0.083,0.067,0.045,0.024,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,25,23,0.796,0.796,0.79,0.777,0.773,0.768,0.762,0.753,0.747,0.672,0.628,0.614,0.617,0.62,0.623,0.623,0.624,0.621,0.619,0.614,0.621,0.617,0.617,0.617,0.592,0.542,0.502,0.431,0.321,0.243,0.086,0.026,0,0,0
2019,6,26,1,0.801,0.801,0.795,0.787,0.782,0.775,0.771,0.763,0.757,0.689,0.653,0.639,0.638,0.64,0.644,0.648,0.642,0.635,0.629,0.624,0.618,0.611,0.609,0.606,0.588,0.553,0.506,0.425,0.36,0.262,0.12,0.048,0.037,0,0
2019,6,26,2,0.689,0.689,0.683,0.676,0.672,0.67,0.664,0.662,0.661,0.629,0.593,0.556,0.531,0.492,0.46,0.428,0.405,0.372,0.317,0.236,0.138,0.069,0.019,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,26,4,0.825,0.825,0.826,0.823,0.817,0.815,0.816,0.81,0.8,0.731,0.691,0.633,0.566,0.509,0.424,0.372,0.275,0.201,0.135,0.065,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
