Year,month,day,hour,S,A,L1,L2
2019,6,22,2,-0.299,1.27,0.005,0
2019,6,22,15,,,,
2019,6,23,0,0.363,0.402,0.017,0
2019,6,23,2,0.393,0.445,0.017,0
2019,6,23,22,-0.405,-0.721,0.104,0
2019,6,24,0,0.208,0.26,0.041,0.005
2019,6,24,1,0.466,0.42,0.038,0.018
2019,6,24,22,1.211,-1.022,0.044,0.029
2019,6,24,23,0.646,-0.062,0.029,0.003
2019,6,25,1,0.952,0.193,0.049,0
2019,6,25,3,0.793,0.949,0.009,0.004
2019,6,25,4,0.683,0.948,0.007,0.019
2019,6,25,13,,,,
2019,6,25,14,,,,
2019,6,25,16,,,,
2019,6,25,18,0.447,0.658,0.008,0
2019,6,25,20,0.309,0.819,0.2,0.114
2019,6,25,21,0.807,0.372,0.088,0.175
2019,6,25,23,0.199,-0.168,0.014,0.147
2019,6,26,1,0.795,0.04,0.021,0.043
2019,6,26,2,1.225,0.949,0.027,0.165
2019,6,26,4,0.69,0.842,0.004,0.046
2019,6,26,12,0.241,-0.024,0.057,0
2019,6,26,14,-0.354,-0.705,0.038,0
2019,6,26,16,0.035,0.284,0.032,0.055
2019,6,26,18,0.906,0.586,0.046,0.05
2019,6,26,19,1.083,0.556,0.099,0.073
2019,6,26,21,1.004,0.628,0.046,0.126
2019,6,26,23,1.099,0.068,0.049,0.041
2019,6,27,0,0.996,-0.062,0.046,0.106
2019,6,27,2,1.12,-0.115,0.037,0.095
2019,6,27,4,1.277,0.73,0.014,0.12
2019,6,27,5,-0.288,0.127,0.25,0
2019,6,27,12,,2,,
2019,6,27,14,0.28,0.03,0.085,0.093
2019,6,27,16,1.039,0.756,0.027,0.161
2019,6,27,17,1.436,0.793,0.039,0.18
2019,6,27,19,1.146,0.75,0.038,0.144
2019,6,27,21,1.547,0.629,0.088,0.059
2019,6,27,22,1.318,0.774,0.01,0.267
2019,6,28,0,1.335,-0.009,0.075,0.003
2019,6,28,2,1.29,-0.195,0.041,0.002
2019,6,28,3,1.196,-0.564,0.023,0.026
2019,6,28,5,1.316,1.098,0.081,0.198
2019,6,28,7,,2,,
2019,6,28,8,,,,
2019,6,28,10,,-2,,
2019,6,28,12,0.473,0.211,0.018,0
2019,6,28,14,0.546,0.214,0.043,0.151
2019,6,28,15,0.639,0.787,0.068,0.009
2019,6,28,17,1.086,1.111,0.058,0.094
2019,6,28,19,1.474,0.972,0.019,0.276
2019,6,28,20,1.445,0.893,0.038,0.206
2019,6,28,22,1.372,0.634,0.051,0.216
2019,6,29,0,1.736,0.771,0.02,0.017
2019,6,29,1,1.345,-0.236,0.071,0.003
2019,6,29,3,0.979,-0.633,0.018,0.013
2019,6,29,5,1.377,0.102,0.066,0.139
2019,6,29,6,,2,,
2019,6,29,8,1.742,1.866,0.181,0.043
2019,6,29,10,1.092,0.788,0.76,0.114
2019,6,29,12,0.967,1.229,0.111,0.13
2019,6,29,13,0.54,1.146,0.096,0.247
2019,6,29,15,1.178,1.075,0.017,0.02
2019,6,29,17,1.175,1.227,0.037,0.063
2019,6,29,18,1.595,1.071,0.055,0.192
2019,6,29,20,1.64,0.998,0.028,0.272
2019,6,29,22,1.647,0.636,0.117,0.551
2019,6,29,23,1.454,0.698,0.029,0.112
2019,6,30,1,1.44,-0.053,0.058,0.001
2019,6,30,3,1.103,-0.643,0.049,0.005
2019,6,30,4,0.952,-0.684,0.103,0.08
2019,6,30,6,1.166,1.016,0.021,0.201
2019,6,30,8,,2,,
2019,6,30,10,1.586,1.918,0.101,0.169
2019,6,30,11,1.151,1.829,0.12,0.138
2019,6,30,13,1.394,1.706,0.144,0.054
2019,6,30,15,1.282,1.661,0.225,0.225
2019,6,30,16,0.98,1.423,0.173,0.325
2019,6,30,18,1.199,0.943,0.016,0.068
2019,6,30,20,1.5,0.862,0.056,0.515
2019,6,30,21,1.633,0.548,0.039,0.006
2019,6,30,23,1.326,0.062,0.044,0.036
2019,7,1,1,1.368,-0.161,0.046,0.001
2019,7,1,2,1.326,-0.445,0.079,0
2019,7,1,4,1.233,-0.516,0.051,0.016
2019,7,1,6,1.419,0.248,0.017,0.023
2019,7,1,8,,2,,
2019,7,1,9,,2,,
2019,7,1,11,,2,,
2019,7,1,13,,2,,
2019,7,1,14,1.051,1.512,0.156,0.341
2019,7,1,16,1.212,0.168,0.043,0.015
2019,7,1,18,1.522,0.451,0.03,0.036
2019,7,1,19,1.311,0.275,0.039,0.059
2019,7,1,21,1.349,0.033,0.015,0.08
2019,7,1,23,1.21,-0.074,0.026,0.082
2019,7,2,0,1.452,-0.24,0.078,0.007
2019,7,2,2,1.349,-0.377,0.093,0.032
2019,7,2,4,0.735,-0.072,0.08,0.152
2019,7,2,6,0.958,-0.62,0.061,0.11
2019,7,2,7,1.148,0.13,0.093,0.097
2019,7,2,9,,,,
2019,7,2,11,1.399,1.937,0.395,0.477
2019,7,2,12,1.335,1.763,0.049,0.194
2019,7,2,14,0.8,-0.008,0.059,0.047
2019,7,2,16,0.934,-0.045,0.022,0.039
2019,7,2,17,1.173,-0.048,0.026,0.07
2019,7,2,19,1.224,-0.165,0.066,0.035
2019,7,2,21,1.116,-0.118,0.058,0.053
2019,7,2,22,1.346,0.03,0.045,0.103
2019,7,3,0,1.476,-0.306,0.083,0.057
2019,7,3,2,1.554,-0.237,0.113,0.002
2019,7,3,3,1.355,0.352,0.145,0.179
2019,7,3,5,1.409,0.296,0.405,0.192
2019,7,3,7,0.707,-0.958,0.583,0.149
2019,7,3,9,0.744,0.867,0.043,0.055
2019,7,3,10,1.594,1.59,0.026,0.011
2019,7,3,12,1.676,0.641,0.044,0.18
2019,7,3,14,1.169,-0.186,0.033,0.095
2019,7,3,15,0.99,0.048,0.038,0.078
2019,7,3,17,1.004,-0.06,0.049,0.114
2019,7,3,19,0.89,-0.185,0.078,0.016
2019,7,3,20,0.944,-0.203,0.097,0.004
2019,7,3,22,1.608,-0.185,0.067,0.067
2019,7,4,0,1.462,-0.385,0.078,0.053
2019,7,4,1,1.649,-0.305,0.115,0.158
2019,7,4,3,1.372,0.768,0.071,0.391
2019,7,4,5,0.897,0.705,0.022,0.033
2019,7,4,7,0.836,0.67,0.017,0.077
2019,7,4,8,1.041,1.125,0.027,0.047
2019,7,4,10,1.246,0.29,0.056,0.048
2019,7,4,12,1.227,0.014,0.063,0.166
2019,7,4,13,1.307,0.152,0.023,0.085
2019,7,4,15,1.465,0.269,0.045,0.091
2019,7,4,17,1.293,-0.238,0.02,0.358
2019,7,4,18,1.311,-0.266,0.082,0.38
2019,7,4,20,1.476,-0.187,0.108,0.344
2019,7,4,22,1.579,-0.353,0.073,0.032
2019,7,4,23,1.499,-0.504,0.087,0.055
2019,7,5,1,1.678,-0.277,0.111,0.187
2019,7,5,3,1.608,0.97,0.049,0.412
2019,7,5,5,0.942,1.012,0.022,0.011
2019,7,5,6,1.214,0.699,0.053,0.096
2019,7,5,8,1.732,1.7,0.034,0.053
2019,7,5,10,1.63,1.559,0.079,0.093
2019,7,5,11,1.62,0.278,0.041,0.051
2019,7,5,13,1.625,0.128,0.031,0.127
2019,7,5,15,1.22,-0.38,0.022,0.063
2019,7,5,16,1.473,-0.494,0.03,0.087
2019,7,5,18,1.621,-0.524,0.042,0.347
2019,7,5,20,1.653,-0.447,0.046,0.281
2019,7,5,21,1.585,-0.493,0.075,0.223
2019,7,5,23,1.604,-0.478,0.128,0.02
2019,7,6,1,1.604,-0.098,0.109,0.132
2019,7,6,3,1.751,0.489,0.121,0.265
2019,7,6,4,1.54,1.151,0.042,0.045
2019,7,6,6,1.474,0.875,0.04,0.001
2019,7,6,6,1.474,0.875,0.04,0.001
2019,7,6,8,1.594,1.793,0.123,0.27
2019,7,6,9,0.83,-1.077,0.051,0.015
2019,7,6,11,1.162,-0.684,0.032,0.1
2019,7,6,13,1.198,-0.306,0.02,0.119
2019,7,6,14,1.18,-0.411,0.078,0.018
