Year,month,day,hour,S,A,L1,L2
2019,7,6,16,1.24,-0.428,0.065,0.078
2019,7,6,18,1.541,-0.44,0.029,0.288
2019,7,6,19,1.426,-0.565,0.051,0.028
2019,7,6,21,1.636,-0.588,0.079,0.199
2019,7,6,23,1.687,-0.597,0.17,0.157
2019,7,7,1,1.746,0.098,0.121,0.106
2019,7,7,2,1.718,0.469,0.119,0.229
2019,7,7,4,1.28,1.27,0.031,0.022
2019,7,7,6,1.586,1.151,0.025,0.119
2019,7,7,7,1.726,1.636,0.124,0.338
2019,7,7,9,0.534,-0.787,0.104,0.29
2019,7,7,11,0.43,-0.576,0.173,0.377
2019,7,7,12,0.796,-0.618,0.064,0.133
2019,7,7,14,0.816,-0.593,0.114,0.209
2019,7,7,16,1.072,-0.655,0.057,0.375
2019,7,7,17,1.444,-0.386,0.038,0.288
2019,7,7,19,1.409,-0.476,0.039,0.271
2019,7,7,21,1.415,-0.651,0.104,0.13
2019,7,7,23,1.556,-0.651,0.198,0.057
2019,7,8,0,1.571,0.142,0.123,0.167
2019,7,8,2,1.386,0.399,0.079,0.283
2019,7,8,4,1.631,1.158,0.103,0.086
2019,7,8,5,1.551,0.832,0.056,0.087
2019,7,8,7,0.963,0.391,0.04,0.094
2019,7,8,9,0.637,-0.636,0.164,0.362
2019,7,8,10,0.414,-0.667,0.155,0.415
2019,7,8,12,0.442,-0.856,0.027,0.093
2019,7,8,14,0.453,-0.888,0.098,0.161
2019,7,8,15,0.513,-0.613,0.078,0.118
2019,7,8,17,1.002,-0.464,0.062,0.078
2019,7,8,19,1.273,-0.35,0.086,0.174
2019,7,8,21,1.575,-0.653,0.145,0.074
2019,7,8,22,1.604,-0.668,0.208,0.054
2019,7,9,0,1.393,0.079,0.2,0.014
2019,7,9,2,1.419,0.294,0.103,0.303
2019,7,9,3,0.974,0.55,0.05,0.035
2019,7,9,5,0.808,0.484,0.14,0.13
2019,7,9,7,-0.562,-0.316,0.071,0.003
2019,7,9,8,0.203,-0.648,0.012,0.038
2019,7,9,10,0.328,-0.692,0.021,0.161
2019,7,9,12,0.692,-1.032,0.106,0.13
2019,7,9,13,0.988,-0.749,0.072,0.05
2019,7,9,15,0.63,-0.741,0.04,0.068
2019,7,9,17,0.294,-0.626,0.102,0.193
2019,7,9,19,0.566,-0.392,0.101,0.19
2019,7,9,20,1.334,-0.1,0.15,0.192
2019,7,9,22,1.592,-0.814,0.189,0.055
2019,7,10,0,1.035,-0.727,0.225,0.341
2019,7,10,1,1.23,0.15,0.125,0.004
2019,7,10,3,0.676,0.124,0.069,0.089
2019,7,10,5,-0.088,0.028,0.218,0.37
2019,7,10,6,-0.337,-0.474,0.09,0.029
2019,7,10,8,-0.404,-0.855,0.087,0.016
2019,7,10,10,-0.028,-1.035,0.143,0.008
2019,7,10,11,0.378,-1.172,0.084,0.128
2019,7,10,13,0.249,-0.788,0.009,0.002
2019,7,10,15,0.381,-0.711,0.061,0.052
2019,7,10,16,-0.335,-0.596,0.145,0.281
2019,7,10,18,,-2,,
2019,7,10,20,1.302,-0.012,0.151,0.16
2019,7,10,22,1.354,-0.69,0.195,0.295
2019,7,10,23,1.142,-0.819,0.148,0.328
2019,7,11,1,1.1,-0.639,0.137,0.259
2019,7,11,3,0.89,0.986,0.042,0.052
2019,7,11,4,0.667,1.008,0.335,0.533
2019,7,11,6,0.842,0.254,0.119,0.029
2019,7,11,8,0.817,-0.833,0.099,0.169
2019,7,11,9,0.543,-1.096,0.103,0.041
2019,7,11,11,0.382,-1.166,0.039,0.024
2019,7,11,13,0.499,-0.901,0.015,0.04
2019,7,11,14,0.459,-0.782,0.056,0.022
2019,7,11,16,0.966,-0.593,0.144,0.3
2019,7,11,18,0.708,-0.318,0.091,0.051
2019,7,11,20,0.941,-0.049,0.104,0.052
2019,7,11,21,1.223,-0.642,0.239,0.254
2019,7,11,23,0.981,-0.962,0.162,0.124
2019,7,12,1,1.074,-0.872,0.066,0.291
2019,7,12,2,-0.292,-0.337,0.072,0.41
2019,7,12,4,0.582,1.569,0.323,0.597
2019,7,12,6,0.864,0.579,0.181,0.265
2019,7,12,7,-1.166,-1.638,0.211,0.164
2019,7,12,9,-0.363,-1.593,0.132,0.056
2019,7,12,11,0.494,-1.19,0.057,0.051
2019,7,12,12,0.061,-1.033,0.036,0.053
2019,7,12,14,-0.189,-1.002,0.072,0.036
2019,7,12,16,0.26,-0.737,0.081,0.134
2019,7,12,18,0.189,-0.548,0.067,0.092
2019,7,12,19,0.35,-0.395,0.046,0.059
2019,7,12,21,0.332,-1.063,0.206,0.042
2019,7,12,23,-0.166,-1.127,0.262,0.304
2019,7,13,0,0.765,-0.919,0.087,0.199
2019,7,13,2,0.174,-1.272,0.033,0.184
2019,7,13,4,-1.033,0.46,0.693,0.326
2019,7,13,5,-1.546,-1.792,0.202,0.151
2019,7,13,7,,-2,,
2019,7,13,9,-1.049,-1.939,0.307,0.301
2019,7,13,10,-0.65,-1.432,0.077,0.07
2019,7,13,12,-0.438,-1.083,0.161,0.006
2019,7,13,14,-0.133,-0.874,0.075,0.167
2019,7,13,16,0.639,-0.76,0.061,0.205
2019,7,13,17,0.64,-0.606,0.055,0.08
2019,7,13,19,0.651,-0.606,0.02,0.017
2019,7,13,22,0.154,-1.512,0.391,0.025
2019,7,14,0,-0.677,-0.799,0.14,0.126
2019,7,14,2,0.277,-1.389,0.027,0.111
2019,7,14,3,0.82,-0.684,0.237,0.09
2019,7,14,5,-1.304,-1.798,0.154,0.306
2019,7,14,7,-1.307,-1.869,0.222,0.299
2019,7,14,8,,-2,,
2019,7,14,10,-1.193,-1.742,0.032,0.208
2019,7,14,12,0.128,-1.17,0.327,0.494
2019,7,14,14,0.276,-0.827,0.116,0.26
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
