Year,Month,Day,NAME SO2 mass (Tg of SO2),SO2 deposition  (Tg of SO2)
2019,6,22,1.133,0.003
2019,6,23,1.553,0.155
2019,6,24,1.414,0.108
2019,6,25,1.257,0.033
2019,6,26,1.152,0.021
2019,6,27,1.073,0.037
2019,6,28,1.02,0.039
2019,6,29,0.932,0.031
2019,6,30,0.854,0.027
2019,7,1,0.774,0.022
2019,7,2,0.699,0.017
2019,7,3,0.651,0.018
2019,7,4,0.609,0.019
2019,7,5,0.555,0.016
2019,7,6,0.524,0.015
2019,7,7,0.495,0.013
2019,7,8,0.445,0.011
2019,7,9,0.39,0.009
2019,7,10,0.367,0.008
2019,7,11,0.341,0.007
2019,7,12,0.306,0.007
2019,7,13,0.267,0.007
2019,7,14,0.244,0.006
2019,7,15,0.194,0.005
